name,href
"Daniel Zacharias, MD",https://www.ifm.org/practitioners/daniel-zacharias-md/
"Darcy P McConnell, MD",https://www.ifm.org/practitioners/darcy-p-mcconnell-md/
"David A Katz, DO",https://www.ifm.org/practitioners/david-a-katz-do/
"David Blyweiss, MD",https://www.ifm.org/practitioners/david-blyweiss-md/
"David Bruce Clarke, MD",https://www.ifm.org/practitioners/david-bruce-clarke-md/
"David Gordon, MD",https://www.ifm.org/practitioners/david-gordon-md/
"David Henry Haase, MD",https://www.ifm.org/practitioners/david-haase-md/
"David Lobur, MD",https://www.ifm.org/practitioners/david-lobur-md/
"David London, MD",https://www.ifm.org/practitioners/david-london-md/
"David M. Brady, ND, DC, CCN, DACBN, IFMCP",https://www.ifm.org/practitioners/david-m-brady-nd-dc-ccn-dacbn/
"David Morcom, PharmD",https://www.ifm.org/practitioners/david-morcom-pharmd/
"David Robert Downey, MD",https://www.ifm.org/practitioners/david-robert-downey-md/
"Deanna M Appleton Cherrone, MD",https://www.ifm.org/practitioners/deanna-m-appleton-cherrone-md/
"Deanna Minich, PhD, FACN, CNS, IFMCP",https://www.ifm.org/practitioners/deanna-minich-phd-facn-cns/
"Deanna Sipe, NP",https://www.ifm.org/practitioners/deanna-sipe-np/
"Debbi Hannan, DC",https://www.ifm.org/practitioners/debbi-hannan-dc/
"Deborah Zebold Bain, MD, FAAP, ABIHM, IFMCP",https://www.ifm.org/practitioners/deborah-bain-md/
"Deborah Bernstein, MD, MS",https://www.ifm.org/practitioners/deborah-bernstein-md-ms/
"Deborah Collins, NP, CFM",https://www.ifm.org/practitioners/deborah-collins-nurse-practitioner-certified-family-medicine/
"Debra Celec, DO",https://www.ifm.org/practitioners/debra-celec-do/
"Debra L Meier, IFMCP, P.T., Nutritionist",https://www.ifm.org/practitioners/debra-l-meier-pt-nutritionist/
"Dee Harris, RDN, CDE",https://www.ifm.org/practitioners/dee-harris-rdn-cde/
"Derek Guillory, MD",https://www.ifm.org/practitioners/derek-guillory-md/
"Diane McCormick, MD",https://www.ifm.org/practitioners/diane-mccormick-md/
"Diane Mountain Pittman, MD",https://www.ifm.org/practitioners/diane-mountain-pittman-md/
"Diane Parks, NP",https://www.ifm.org/practitioners/diane-parks-np/
"Dianne Villani, MS, APRN, FNP-C",https://www.ifm.org/practitioners/dianne-villani-ma-aprn/
"Dirk Parvus, MD",https://www.ifm.org/practitioners/dirk-parvus-md/
"Don Ford, MD",https://www.ifm.org/practitioners/don-ford-md/
"Drew Francis, OMD, LAc",https://www.ifm.org/practitioners/drew-francis-omd-lac/
Easter Ho,https://www.ifm.org/practitioners/easter-ho-nd/
"Edyta Maria Konrad, MD, PhD",https://www.ifm.org/practitioners/edyta-maria-konrad-md-phd/
"Elena Klimenko, MD",https://www.ifm.org/practitioners/elena-klimenko-md/
"Elisa J Mercuro, DO",https://www.ifm.org/practitioners/elisa-j-mercuro-do/
"Elizabeth Board, MD, IFMCP, DABA",https://www.ifm.org/practitioners/elizabeth-board-md-ifmcp-daba/
"Elizabeth Boham, MD, MS, RD",https://www.ifm.org/practitioners/elizabeth-boham-md-ms-rd/
"Elizabeth Bradley, MD",https://www.ifm.org/practitioners/elizabeth-bradley-md/
"Elizabeth Greig, MSN, FNP",https://www.ifm.org/practitioners/elizabeth-greig-msn-fnp/
"Elizabeth Marie Buchert, MD",https://www.ifm.org/practitioners/elizabeth-marie-buchert-md/
"Elizabeth R Seymour, MD",https://www.ifm.org/practitioners/elizabeth-r-seymour-md/
"Elizabeth Zapp, MD",https://www.ifm.org/practitioners/elizabeth-zapp-md/
"Ellen Antoine, DO, FACEP, ABOIM, IFMCP",https://www.ifm.org/practitioners/ellen-antoine-do/
"Ellois W Bailey, PMH-NP",https://www.ifm.org/practitioners/ellois-w-bailey-pmh-np/
"Elroy Vojdani, MD",https://www.ifm.org/practitioners/elroy-vojdani-md/
"Emily Gutierrez, DNP, CPNP, PMHS, IFM-CP",https://www.ifm.org/practitioners/emily-gutierrez-dnp-cpnp/
"Emily Parke, DO",https://www.ifm.org/practitioners/emily-parke-do/
"Emmanuel Quaye, MD",https://www.ifm.org/practitioners/emmanuel-quaye-md/
"Eric M Osansky, DC, MS, CCN, CNS",https://www.ifm.org/practitioners/eric-m-osansky-dc-ms-ccn-cns/
"Eric Potter, MD",https://www.ifm.org/practitioners/eric-potter-md/
"Erica Leazenby, MD",https://www.ifm.org/practitioners/erica-leazenby-md/
"Erich Goetzel, MD, MAc, LAc",https://www.ifm.org/practitioners/erich-goetzel-md-mac-lac/
"Erik Lundquist, MD",https://www.ifm.org/practitioners/erik-lundquist-md/
"Erin A. Bishop, FNP-C, DCNP",https://www.ifm.org/practitioners/erin-a-bishop-arnp-bc/
"Eugene Gresh, RPh",https://www.ifm.org/practitioners/eugene-gresh-rph/
"Eva Victoria Chomka, MD",https://www.ifm.org/practitioners/eva-victoria-chomka-md/
"Eve Plews, LNC",https://www.ifm.org/practitioners/eve-plews-lnc/
"Fatima Vilich, MD",https://www.ifm.org/practitioners/fatima-vilich-md/
"Frances Meredith, MD",https://www.ifm.org/practitioners/frances-meredith/
"Franne Berez, MD, ND",https://www.ifm.org/practitioners/franne-berez-md-nd/
"Gail Gagnon, DO",https://www.ifm.org/practitioners/gail-gagnon-do/
"Gail Solway, RPh, MS, CNS",https://www.ifm.org/practitioners/gail-solway-rph-ms-cns/
"Garric R Vosloo, BSc (Hons)",https://www.ifm.org/practitioners/garric-r-vosloo-bsc-hons/
"Gary Goldman, MD",https://www.ifm.org/practitioners/gary-goldman-md/
"Geo Espinosa, ND",https://www.ifm.org/practitioners/geo-espinosa-nd/
"George Bordenave, MD FABIHM FACP FCHCQM",https://www.ifm.org/practitioners/george-bordenave-md-abihm-facp-chcqm/
"Gerard Mullin, MD",https://www.ifm.org/practitioners/gerard-mullin-md/
"Gia McCloskey-Jurevich, NP",https://www.ifm.org/practitioners/gia-mccloskey-jurevich-np/
"Gillian Ehrlich, DNP FNP",https://www.ifm.org/practitioners/gillian-ehrlich-dnp-fnp/
"Glayol NMI Sahba, MD",https://www.ifm.org/practitioners/glayol-sahba-md/
"Gloria Hamada, DC, CCN, IFMCP",https://www.ifm.org/practitioners/gloria-hamada-dc-ccn-ifmcp/
"Heather Ann Darling, MSN",https://www.ifm.org/practitioners/heather-ann-darling-msn/
"Heather Dickson, MD",https://www.ifm.org/practitioners/heather-dickson-md/
"Heather Moday, MD",https://www.ifm.org/practitioners/heather-moday-md/
"Heather Ruth L.Ac., CBP",https://www.ifm.org/practitioners/heather-ruth/
"Heidi Iratcabal, ND",https://www.ifm.org/practitioners/heidi-iratcabal-nd/
"Heidi J Rasmussen, MD",https://www.ifm.org/practitioners/heidi-j-rasmussen-md/
"Heidi Wittels, MD",https://www.ifm.org/practitioners/heidi-wittels-md/
"Henry Mueller, DC",https://www.ifm.org/practitioners/henry-mueller-dc/
"Hester Visagie, MD",https://www.ifm.org/practitioners/hester-visagie-md/
"Holly J Niles, MS, CNS, LDN, IFMCP",https://www.ifm.org/practitioners/holly-j-niles-ms-cns-ldn-rncp/
"I Harrison Moore, MD",https://www.ifm.org/practitioners/i-harrison-moore-md/
"Francis Ian Hollaman, DC, MSc, IFMCP",https://www.ifm.org/practitioners/ian-hollaman-dc-msc/
Isa Ruiz,https://www.ifm.org/practitioners/isa-s-ruiz/
"Jacquelyn Marie Pariset, MD",https://www.ifm.org/practitioners/jacquelyn-marie-pariset-md/
"Jaime Midez, MD",https://www.ifm.org/practitioners/jaime-midez-md/
"Jane Murray, MD",https://www.ifm.org/practitioners/jane-murray-md/
"Janice J Pegels, MD",https://www.ifm.org/practitioners/janice-j-pegels-md/
"Janis Rustad, RN, MN, FNP-C",https://www.ifm.org/practitioners/janis-rustad-rn-mn-fnp-c/
"Jason Koenig, DC",https://www.ifm.org/practitioners/jason-koenig-dc/
"Jean Golden-Tevald, DO",https://www.ifm.org/practitioners/jean-golden-tevald-do/
"Jeanene Caccopola, DO",https://www.ifm.org/practitioners/jeanene-caccopola-do/
"Jeanette Walker, MD",https://www.ifm.org/practitioners/jeanette-walker-md/
"Jeanette Welker, MN, FNP",https://www.ifm.org/practitioners/jeanette-welker-mn-fnp/
"Jeanne W Cook, MD",https://www.ifm.org/practitioners/jeanne-cook-md/
"Jeanne W Shiffman, MD",https://www.ifm.org/practitioners/jeanne-w-shiffman-md/
"Jeffrey Boyd Baker, MD",https://www.ifm.org/practitioners/jeffrey-boyd-baker-md/
"Jeffrey Kotulski, DO",https://www.ifm.org/practitioners/jeffrey-kotulski-do/
"Jeffrey Mark, MD",https://www.ifm.org/practitioners/jeffrey-mark-md/
"Jennelle L. Sweeney, DC",https://www.ifm.org/practitioners/jennelle-l-sweeney-dc/
"Jennifer A McCord, MD",https://www.ifm.org/practitioners/jennifer-a-mccord-md/
"Jennifer J Sosnowski, MD",https://www.ifm.org/practitioners/jennifer-j-sosnowski-md/
"Jennifer Paulson, FNP",https://www.ifm.org/practitioners/jennifer-paulson-fnp/
"Jeremy Flagel, MD",https://www.ifm.org/practitioners/jeremy-flagel-md/
"Jessica Hehmeyer, DC, MS, LDN, CNS",https://www.ifm.org/practitioners/jessica-hehmeyer-dc-ldn-cns/
"Jessica R Hutchins, MD",https://www.ifm.org/practitioners/jessica-r-hutchins-md/
"Jessica Scalzo, FNP",https://www.ifm.org/practitioners/jessica-scalzo-fnp/
"Jessica Seaton, DC",https://www.ifm.org/practitioners/jessica-seaton-dc/
"Jill Carnahan, MD",https://www.ifm.org/practitioners/jill-carnahan-md/
"Jill K Valerius, MD, ABIHM, IFMCP, ATC",https://www.ifm.org/practitioners/jill-k-valerius-md-abihm-ifmcp-atc/
"Jill Kalcich, MD",https://www.ifm.org/practitioners/jill-kalcich-md/
"Jill R. Baron, MD",https://www.ifm.org/practitioners/jill-r-baron-md/
"Joanna Marie Hutchins, PA-C, MPAS, IFMCP",https://www.ifm.org/practitioners/joanna-marie-hutchins-pa-c-mpas/
"Jodi Robinson, MD",https://www.ifm.org/practitioners/jodi-robinson-md/
"Jody Caldwell, MD",https://www.ifm.org/practitioners/jody-caldwell-md/
"Joel Evans, MD",https://www.ifm.org/practitioners/joel-evans-md/
"John B. Abell, MD",https://www.ifm.org/practitioners/john-b-abell-md/
"John R. Dixon, DC, CCN",https://www.ifm.org/practitioners/john-dixon-dc-ccn/
"John Koziarski, MD",https://www.ifm.org/practitioners/john-koziarski-md/
"John Neely, MD",https://www.ifm.org/practitioners/john-neely-md/
"Jon Shaffer, MD",https://www.ifm.org/practitioners/jon-shaffer-md/
"Jonathan Morley, MD",https://www.ifm.org/practitioners/jonathan-morley-md/
"Jonathan Terry, DO, ABIHM",https://www.ifm.org/practitioners/jonathan-terry-do-abihm/
"Joseph Carchedi, MD",https://www.ifm.org/practitioners/joseph-carchedi-md/
"Joseph Iuvara, DC",https://www.ifm.org/practitioners/joseph-iuvara-dc/
"Joseph Patrick Ordonez, MD",https://www.ifm.org/practitioners/joseph-ordonez-md/
"Joshua Berka, ND, LAc",https://www.ifm.org/practitioners/joshua-berka-nd-lac/
"Judith E Trotter, APRN",https://www.ifm.org/practitioners/judith-e-trotter-aprn/
"Julia Ann Liaci, MD, MPH, IFMCP",https://www.ifm.org/practitioners/julia-a-liaci-md/
"Julia Buchkina, MD, MPH",https://www.ifm.org/practitioners/julia-buchkina-md-mph/
"Julia Reznik, MD, ABIHM",https://www.ifm.org/practitioners/julia-reznik-md/
"Julie Buckley, MD",https://www.ifm.org/practitioners/julie-buckley-md/
"Julie Caroline Conner, RD, CD-N, MPH, BCHN, IFM-CP, PhD",https://www.ifm.org/practitioners/julie-caroline-conner-rd-mph-phd/
"Julie Hill, Registered Dietitian",https://www.ifm.org/practitioners/julie-hill-registered-dietitian/
"Julie Perlanski, MD",https://www.ifm.org/practitioners/julie-perlanski-md/
"Julie Southmayd, MD",https://www.ifm.org/practitioners/julie-southmayd-md/
"Julie Tebben, CNP",https://www.ifm.org/practitioners/julie-tebben-cnp/
"Jyoti Mathews, MD",https://www.ifm.org/practitioners/jyoti-mathews-md/
"Kara Fitzgerald, ND",https://www.ifm.org/practitioners/kara-fitzgerald-nd/
"Kara Nakisbendi, MD",https://www.ifm.org/practitioners/kara-nakisbendi-md/
"Karen Chen, MD",https://www.ifm.org/practitioners/karen-chen-md/
"Karen Diane Johnson, MD",https://www.ifm.org/practitioners/karen-diane-johnson-md/
"Karen F. Miller, M.D.",https://www.ifm.org/practitioners/karen-f-miller-m-d/
"Karen Koffler, MD",https://www.ifm.org/practitioners/karen-koffler-md/
"Karl Holtzer, MD, MS",https://www.ifm.org/practitioners/karl-holtzer-md-ms/
"Kat Toups, MD, DFAPA, IFMCP",https://www.ifm.org/practitioners/kat-toups-md-dfapa-ifmcp/
"Katherine H. Birchenough, MD",https://www.ifm.org/practitioners/katherine-h-birchenough-md/
"Kathleen G Hopkins, DO",https://www.ifm.org/practitioners/kathleen-g-hopkins-do/
"Kathleen Thomsen, MD, MPH",https://www.ifm.org/practitioners/kathleen-thomsen-md-mph/
"Keelyn Wu, DO",https://www.ifm.org/practitioners/keelyn-wu-do/
"Keesha Ewers, PhD, ARNP",https://www.ifm.org/practitioners/keesha-ewers-phd-arnp/
"Kelly A Busby, DO",https://www.ifm.org/practitioners/kelly-a-busby-do/
"Kelly K McCann, MD",https://www.ifm.org/practitioners/kelly-k-mccann-md/
"Kelly Lenz, MD",https://www.ifm.org/practitioners/kelly-lenz-md/
"Kenneth J Storch, MD, PhD",https://www.ifm.org/practitioners/kenneth-j-storch-md-phd/
"Kenneth Steven Sharlin, MD, MPH",https://www.ifm.org/practitioners/kenneth-steven-sharlin-md-mph/
"Kim Ross, MS, MBA, CNS, CDN, IFMCP",https://www.ifm.org/practitioners/kim-ross-ms-cns-ifmcp/
"Kimberly M. Borghese, APRN, FNP-BC",https://www.ifm.org/practitioners/kimberly-borghese/
"Kiona Subramanian, MD",https://www.ifm.org/practitioners/kiona-subramanian-md/
"Kristen B Brown, ARNP-C, MSN, FNP, IFMCP",https://www.ifm.org/practitioners/kristen-brown/
"Kristen Harding, MD",https://www.ifm.org/practitioners/kristen-harding-md/
"Kristen L. Biggs, MD, FACS",https://www.ifm.org/practitioners/kristen-l-biggs-md-rpvi-rphs-facs/
"Kristi Jane Hughes, ND",https://www.ifm.org/practitioners/kristi-hughes-nd/
"Kristine Burke, MD",https://www.ifm.org/practitioners/kristine-burke-md/
"Kulwinder Kaur Fayssoux, MD",https://www.ifm.org/practitioners/kulwinder-kaur-fayssoux-md/
"Kyle S Chavers, MD",https://www.ifm.org/practitioners/kyle-s-chavers-md/
"Lada Kokan, MD",https://www.ifm.org/practitioners/lada-kokan-md/
Lara Williams,https://www.ifm.org/practitioners/lara-williams/
"Lara Zakaria, RPh MS CNS CDN",https://www.ifm.org/practitioners/lara-zakaria-rph-ms-cns-cn/
"Laura Franklin, MS (Nutrition) LAc",https://www.ifm.org/practitioners/laura-franklin-ms-nutrition-lac/
"Laura L. Mendez, APRN, WHNP, IFMCP",https://www.ifm.org/practitioners/laura-l-mendez-rn-whcnp/
"Laura Lawson, DO",https://www.ifm.org/practitioners/laura-lawson-do/
"Laura Schneider Martell, ND, LAc, FABNO",https://www.ifm.org/practitioners/laura-martell-nd-lac-fabno/
"Laura Ruby, DNP, CRNP",https://www.ifm.org/practitioners/laura-ruby-dnp-crnp/
"Lauren Grace Takata, Physician Assistant",https://www.ifm.org/practitioners/lauren-grace-takata-physician-assistant/
"Lauri Erway Nandyal, MD",https://www.ifm.org/practitioners/lauri-erway-nandyal-md/
"Laurie Goldman, MD",https://www.ifm.org/practitioners/laurie-goldman-md/
"Laurie Love, MSN, FNP-BC",https://www.ifm.org/practitioners/laurie-love-msn-fnp-bc/
"Lee Aberle, ND",https://www.ifm.org/practitioners/lee-aberle-nd/
"Leesa Blake Condry, MD",https://www.ifm.org/practitioners/leesa-condry-md/
"Lela Iduna, MD",https://www.ifm.org/practitioners/lela-iduna-md/
"Leonard J Leo, DO, DC",https://www.ifm.org/practitioners/leonard-leo-do-dc/
"Lesley Ann James, MD",https://www.ifm.org/practitioners/lesley-ann-james-md/
"Leslie Stone, MD",https://www.ifm.org/practitioners/leslie-stone-md/
"Lester L Ducote Jr, MD",https://www.ifm.org/practitioners/lester-l-ducote-jr-md/
"Liesa Harte, MD",https://www.ifm.org/practitioners/liesa-harte-md/
"Lisa Gengo, ND, PAC, IFMCP",https://www.ifm.org/practitioners/lisa-gengo-nd-pac/
"Lisa Hill, MD",https://www.ifm.org/practitioners/lisa-hill-md/
"Lisa Lichtig, MD",https://www.ifm.org/practitioners/lisa-lichtig-md/
"Lisa N Ruckman, M.D.",https://www.ifm.org/practitioners/lisa-n-ruckman-m-d/
"Lisa Portera-Perry, DC, IFMCP",https://www.ifm.org/practitioners/lisa-portera-perry-dc-ifmcp/
"Liz Lipski, PhD, CCN, CNS, BCHN, IFMCP, LDN",https://www.ifm.org/practitioners/liz-lipski-phd-ccn-cns/
"Lonna Larsh, MD",https://www.ifm.org/practitioners/lonna-larsh-md/
"Lori Ann Zettell, MD",https://www.ifm.org/practitioners/lori-ann-zettell-md/
"Lori Graham, BS OT, MS, Nutrition",https://www.ifm.org/practitioners/lori-graham-b-s-ot-m-s-exercise-science-post-ms-nutrition-certified-in-functional-medicine/
"Luc Readinger, MD",https://www.ifm.org/practitioners/luc-readinger-md/
"Lucy Budde, MD, PhD",https://www.ifm.org/practitioners/lucy-budde-md-phd/
"Lydia G Corn, MD",https://www.ifm.org/practitioners/lydia-g-corn-md/
"Lynell Hage, RN",https://www.ifm.org/practitioners/lynell-hage-rn/
"Lynn Marie Joselyn, PA-C",https://www.ifm.org/practitioners/lynn-marie-joselyn-pa-c/
"Lynn Petrocelli, CRNP",https://www.ifm.org/practitioners/lynn-petrocelli-crnp/
"Madeleine M Castellanos, MD",https://www.ifm.org/practitioners/madeleine-m-castellanos-md/
"Maggie Gama, MD",https://www.ifm.org/practitioners/maggie-gama-md/
"Mai Ting, MD",https://www.ifm.org/practitioners/mai-ting-md/
"Malaika Woods, MD",https://www.ifm.org/practitioners/malaika-woods-md/
"Manpreet Samra, MD",https://www.ifm.org/practitioners/manpreet-samra-md/
"Marcelle Pick, OB-GYN GYN NP",https://www.ifm.org/practitioners/marcelle-pick-ob-gyn-gyn-np/
"Margaret Christensen, MD",https://www.ifm.org/practitioners/margaret-christensen-md/
"Margaret J Loewen, CNP",https://www.ifm.org/practitioners/margaret-j-loewen-cnp/
